FracUnfilteredWater,PS - 0.2,PS - GFF,PS - MIS,NRE - 0.2,NRE - GFF,NRE - MIS,AS - 0.2,AS - GFF,AS - MIS,JL - 0.2,JL - GFF,JL - MIS,CR - 0.2,CR - GFF,CR - MIS,PS - 0.2E,PS - GFFE,PS - MISE,NRE - 0.2E,NRE - GFFE,NRE - MISE,AS - 0.2E,AS - GFFE,AS - MISE,JL - 0.2E,JL - GFFE,JL - MISE,CR - 0.2E,CR - GFFE,CR - MISE,PS-bact - 0.2,PS-bact - 0.2SE,PS-bact - GFF,PS-bact - GFFSE,PS-bact - MIS,PS-bact - MISSE,NRE-bact - 0.2,NRE-bact - 0.2SE,NRE-bact - GFF,NRE-bact - GFFSE,NRE-bact - MIS,NRE-bact - MISSE,AS-bact - 0.2,AS-bact - 0.2SE,AS-bact - GFF,AS-bact - GFFSE,AS-bact - MIS,AS-bact - MISSE,JL-bact - 0.2,JL-bact - 0.2SE,JL-bact - GFF,JL-bact - GFFSE,JL-bact - MIS,JL-bact - MISSE,CR-bact - 0.2,CR-bact - 0.2SE,CR-bact - GFF,CR-bact - GFFSE,CR-bact - MIS,CR-bact - MISSE
0.1,0.922229351,0.886214852,1.180329734,0.104767706,0.225292055,0.495954069,0.249087253,0.744286605,1.877519062,0.734075602,0.824725186,0.343358145,0.552550631,0.80464515,0.725975155,0.195512622,0.187877549,0.250229904,0.022210754,0.047761916,0.105142263,0.052806498,0.15778876,0.398034041,0.155624028,0.17484174,0.072791927,0.117140734,0.170584772,0.153906733,668634.5504,166392.0276,1165814.302,116994.6254,207193.3755,12505.31567,10028058.66,58854.69743,6410879.24,1849317.018,1946155.716,70318.72729,3179978.932,104544.2867,3630767.017,536785.9677,477390.3948,147229.8964,5551197.816,60848.48557,5713877.795,104629.5,1941867.794,270986.3496,1663339.597,69496.02116,1713262.317,86886.75924,260844.0501,69330.7111
0.1,0.985316271,0.812518074,1.211173184,-0.073119423,0.093847644,0.203021377,0.39859552,1.225502549,2.215408399,0.578195045,0.844925166,0.347808159,0.618385558,0.807287834,0.710905915,0.208887049,0.172253832,0.256768715,-0.015501318,0.0198957,0.043040532,0.08450225,0.25980654,0.469666581,0.122577349,0.179124135,0.07373533,0.131097738,0.171145021,0.150712054,928257.418,63745.75205,1078942.94,42535.67234,330314.1696,2377.959951,6468642.476,1862069.505,9492632.119,110763.7917,3226019.783,218925.3996,3704001.228,65849.55455,2607836.505,202680.2543,703471.0113,14428.71899,6111533.876,69773.46147,10751437.04,311179.5319,1651883.883,27068.14831,2161515.059,116484.2537,1902631.827,10587.48225,383279.4708,116006.4017
0.1,1.019089472,0.902568798,1.171429496,0.120643456,0.197191481,0.434768028,0.507881191,0.862869184,2.018985077,0.71518257,0.824524759,0.302230946,0.637894983,0.865019116,0.799250686,0.216046968,0.191344585,0.248343053,0.025576413,0.041804594,0.092170822,0.107670813,0.182928267,0.428024836,0.151618705,0.174799249,0.064072961,0.135233736,0.183384053,0.169441145,1093956.864,49676.072,1162816.789,59316.39571,348603.7888,98151.25283,11605503.81,187501.4718,4610061.717,1954532.589,7220939.893,510823.9292,1966247.388,531468.7592,3089662.494,387106.4398,996099.8748,62194.83499,6632477.968,98462.61402,4809972.752,852457.9557,1910934.538,477922.0654,2078829.406,73496.93026,2258926.979,86539.12564,968399.3662,20932.62449
0.15,0.928827882,0.960391599,1.102966794,0.165832887,0.162422773,0.388939903,0.556449123,0.862985864,2.012675845,0.358765069,0.6158579,0.220593994,0.732435934,0.815900713,0.914157968,0.196911511,0.203603019,0.23382896,0.035156572,0.034433628,0.082455259,0.117967214,0.182953003,0.426687279,0.076058195,0.130561875,0.046765927,0.155276418,0.172970951,0.193801489,1183497.706,67722.65247,1297394.119,12568.04031,1050282.262,35435.23186,15022757.16,611421.7129,4165418.332,2401229.845,10654833.16,362323.9725,2270493.525,1276592.536,4287048.41,403983.4248,2041342.154,135103.9141,7490103.381,94555.58904,7482441.503,196646.9562,4933740.106,154044.9532,1533451.346,439767.1401,2236838.971,572926.6573,1735145.955,115955.3907
0.15,0.790256949,0.846349282,0.919816731,0.100937876,0.198244682,0.48266436,0.66087792,0.711425978,1.630944006,0.424679546,0.46095078,0.088490036,0.651912261,0.848562841,0.788059425,0.167534473,0.179426048,0.195001147,0.02139883,0.042027873,0.102324844,0.140106119,0.150822307,0.345760129,0.090032064,0.097721565,0.018759888,0.138205399,0.179895322,0.167068598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.15,0.895879735,0.955248083,1.14578684,0.093786843,0.119875519,0.306204146,0.405465108,0.715727379,1.971562594,0.340774407,0.603370623,0.208036282,0.499953973,0.813427567,0.735054378,0.189926504,0.202512594,0.24290681,0.019882811,0.02541361,0.064915279,0.085958603,0.151734204,0.41797127,0.072244174,0.127914572,0.044103692,0.105990242,0.172446644,0.155831528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.25,0.802795023,0.937181499,1.154366777,0.114654237,0.126486292,0.079119147,0.76289796,0.83678122,1.959837884,0.254275672,0.420062886,0.079865357,0.547249375,0.774344052,0.666008477,0.170192545,0.198682478,0.244725757,0.024306698,0.026815094,0.016773259,0.161734368,0.177397619,0.415485631,0.053906443,0.089053332,0.016931456,0.116016867,0.164160939,0.141193797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.25,0.857199878,0.768829605,1.037841391,0.071238544,0.162431803,0.120467107,0.813234977,0.821574485,2.120499844,0.316960081,0.532081621,-0.010356625,0.632497493,0.931594654,0.657611459,0.181726374,0.162991876,0.220022375,0.015102571,0.034435542,0.025539027,0.172405815,0.174173791,0.449545967,0.067195537,0.112801304,-0.002195605,0.134089468,0.197498067,0.139413629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.25,0.920325853,0.825129953,1.099553023,-0.054360449,0.152183782,0.092621632,0.753790014,0.73576932,2.127030043,0.22988147,0.42221701,0.094950726,0.605841544,0.791467986,0.676094804,0.195109081,0.17492755,0.233105241,-0.011524415,0.032262962,0.019635786,0.159803483,0.155983096,0.450930369,0.048734872,0.089510006,0.020129554,0.128438407,0.167791213,0.143332098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,0.895376261,0.856856243,1.085499686,0.124390557,0.419112,0.227865072,0.569911279,0.737905479,1.75471888,-0.054085025,0.045488639,0.093235642,0.687935519,0.776553696,0.620591105,0.189819767,0.181653523,0.230125933,0.026370798,0.088851744,0.048307395,0.120821191,0.156435962,0.372000402,-0.011466025,0.009643591,0.019765956,0.14584233,0.164629383,0.131565314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
