FracUnfilteredWater,PS-GFF,PS-GFFVit,PS-MIS,PS-MISVit,NRE-GFF,NRE-GFFVit,NRE-MIS,NRE-MISVit,JL-GFF,JL-GFFVit,JL-MIS,JL-MISVit,AS-GFF,AS-GFFVit,AS-MIS,AS-MISVit,CR-GFF,CR-GFFVit,CR-MIS,CR-MISVit,PS-GFFE,PS-GFFVitE,PS-MISE,PS-MISVitE,NRE-GFFE,NRE-GFFVitE,NRE-MISE,NRE-MISVitE,JL-GFFE,JL-GFFVitE,JL-MISE,JL-MISVitE,AS-GFFE,AS-GFFVitE,AS-MISE,AS-MISVitE,CR-GFFE,CR-GFFVitE,CR-MISE,CR-MISVitE,PS-bact -GFF,PS-bact -GFFE,PS-bact -GFFVit,PS-bact -GFFVitE,PS-bact -MIS,PS-bact -MISE,PS-bact -MISVit,PS-bact -MISVitE,NRE-bact -GFF,NRE-bact -GFFE,NRE-bact -GFFVit,NRE-bact -GFFVitE,NRE-bact -MIS,NRE-bact -MISE,NRE-bact -MISVit,NRE-bact -MISVitE,AS-bact -GFF,AS-bact -GFFE,AS-bact -GFFVit,AS-bact -GFFVitE,AS-bact -MIS,AS-bact -MISE,AS-bact -MISVit,AS-bact -MISVitE,CR-bact -GFF,CR-bact -GFFE,CR-bact -GFFVit,CR-bact -GFFVitE,CR-bact -MIS,CR-bact -MISE,CR-bact -MISVit,CR-bact -MISVitE,JL-bact -GFF,JL-bact -GFFE,JL-bact -GFFVit,JL-bact -GFFVitE,JL-bact -MIS,JL-bact -MISE,JL-bact -MISVit,JL-bact -MISVitE
0.1,0.78225197,0.727707797,0.287819719,0.316021508,0.174974231,0.373327167,0.372920977,0.54195765,0.005684364,0.073234092,0.035921016,0.183909754,0.784176915,0.939337528,0.348343504,1.894975562,1.060832086,1.183868086,1.026153931,1.368243237,0.165837418,0.154274053,0.06101778,0.06699656,0.037094537,0.079145359,0.079059247,0.114895022,0.001205085,0.015525627,0.007615255,0.038988868,0.166245506,0.199139556,0.073848823,0.401734819,0.224896402,0.250980034,0.217544633,0.290067566,-0.275853492,0.037129682,-0.267980322,0.024693797,0.249117252,0.141826024,0.146411196,0.104377851,-0.248086642,0.042183364,-0.230933971,0.108019713,0.184762715,0.041989501,0.133591118,0.254434023,0.882349611,0.069785639,0.280963599,0.087859344,0.533910337,0.329957538,0.095248295,0.146080103,-0.239844478,0.12525553,-0.3072985,0.047067596,0.361322195,0.04008408,0.533594201,0.0333086,0.076085819,0.023815212,0.02650917,0.07927673,-0.303003063,0.814153379,0.461900294,0.087617382
0.1,0.760303349,0.800056567,0.276774046,0.350199422,0.111149657,0.295755674,0.059680582,0.52476092,0.00469697,0.028452299,0.015793033,0.294822896,0.739538047,1.001479919,0.393906204,1.848488332,1.200517989,1.16213308,1.039354946,1.083343633,0.16118431,0.169611992,0.058676098,0.074242277,0.023563727,0.062700203,0.012652283,0.111249315,0.000995758,0.006031887,0.003348123,0.062502454,0.156782066,0.212313743,0.083508115,0.391879526,0.254509814,0.246372213,0.220343248,0.22966885,-0.197456554,0.033065675,-0.163682681,0.07727246,0.038601937,0.147638097,0.131418335,0.12834944,-0.24955896,0.005310842,1.286620107,1.43179668,-0.128734328,0.429027028,0.028662114,0.324859479,-0.587092926,1.045275076,0.248403653,0.105346629,0.181836451,0.219308144,-0.293862005,0.071850494,-1.025178847,1.028671512,-0.318975916,0.044287278,0.167240795,0.094251723,0.319434528,0.035251945,-0.070779942,0.129780146,-0.403939634,0.318329636,-0.067038861,0.150022184,-0.975172965,1.204443133
0.1,0.797246516,0.754010465,0.186576902,0.17551659,0.182352293,0.423011511,0.265447595,0.468995088,0.098483708,-0.088722032,-0.021184886,0.076745154,0.93622419,0.797472453,1.269865437,1.862486937,1.174999018,1.32339566,0.968850823,1.214472888,0.169016261,0.159850219,0.039554303,0.037209517,0.038658686,0.08967844,0.05627489,0.099426959,0.020878546,-0.018809071,-0.004491196,0.016269973,0.198479528,0.16906416,0.269211473,0.394847231,0.249099792,0.28055988,0.205396375,0.257468252,0.103640296,0.366140333,-0.372566613,0.592062537,0.633558679,0.66435316,-0.220802645,0.143747338,-0.347766098,0.085975428,0.279901352,1.375567668,-0.026376215,0.042913425,0.142198273,0.340384803,-0.204438798,0.165910885,-0.139726003,0.070105135,0.130729947,0.156515771,0.7271572,0.039628532,-0.235800432,0.022071152,-0.210300196,0.003262765,-0.562706372,1.08117765,0.181600558,0.052381365,-0.175029435,0.041174237,-0.453875064,0.517964208,-0.206307548,0.557155841,-0.57167956,1.142757561
0.25,0.300768831,0.32205473,-0.051709166,-0.001733104,0.217812609,0.470610387,0.279688133,0.280815045,-0.063256024,-0.109659409,0.029360661,-0.096181303,0.830177333,1.020043296,1.557766737,1.592031172,1.084562474,1.237992524,0.614859203,0.273615864,0.063762992,0.068275603,-0.010962343,-0.000367418,0.046176273,0.099769402,0.059293884,0.05953279,-0.013410277,-0.023247795,0.00622446,-0.020390436,0.175997595,0.216249179,0.330246548,0.337510608,0.229927245,0.262454415,0.130350151,0.058006563,-0.017889589,0.027953095,-0.07833773,0.063102955,-0.017889589,0.027953095,-0.07833773,0.063102955,-0.024832883,0.121995124,0.067657482,0.038710269,-0.024832883,0.121995124,0.067657482,0.038710269,-0.262464008,0.124502132,0.283315921,0.190009036,-0.262464008,0.124502132,0.283315921,0.190009036,0.015766599,0.1659346,0.172329885,0.12978504,0.015766599,0.1659346,0.172329885,0.12978504,-0.561678881,1.176437147,0.131775894,0.03828982,-0.561678881,1.176437147,0.131775894,0.03828982
0.25,0.339519757,0.387366304,-0.13136554,-0.085257522,0.259359026,0.498518048,0.330032516,0.237774656,-0.011070563,-0.121547267,0.014555402,-0.014447233,1.151770025,0.89520724,1.768645904,1.806817844,1.162876076,1.166918818,0.53646318,0.314653969,0.071978188,0.082121656,-0.027849494,-0.018074595,0.054984113,0.105685826,0.069966893,0.050408227,-0.002346959,-0.025768021,0.003085745,-0.003062813,0.244175245,0.189783935,0.374952932,0.383045383,0.246529728,0.247386789,0.113730194,0.066706641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.25,0.304074749,0.315546268,-0.01923314,-0.093667049,0.29985305,0.360736255,0.159172491,0.343184972,-0.104822741,-0.153149816,0.000428755,-0.079721611,1.046835515,0.822247288,1.691341258,1.76377015,1.144820392,1.180994609,0.66684895,0.241013911,0.064463847,0.066895809,-0.004077426,-0.019857414,0.063568847,0.076476086,0.033744568,0.072755214,-0.022222421,-0.032467761,9.08961E-05,-0.016900982,0.221929129,0.174316425,0.358564347,0.373919272,0.242701923,0.250370857,0.141371977,0.051094949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,0.004086103,-0.006807036,-0.192920918,-0.215318849,0.345378056,0.210862275,0.284771938,0.242058439,-0.251207573,-0.303620729,-0.03048264,-0.073020579,1.154951804,1.042951666,1.361153531,1.294657514,1.209654684,1.173690458,0.610032094,0.626810117,0.000866254,-0.001443092,-0.040899235,-0.045647596,0.073220148,0.044702802,0.060371651,0.051316389,-0.053256005,-0.064367595,-0.00646232,-0.015480363,0.244849782,0.221105753,0.288564549,0.274467393,0.256446793,0.248822377,0.129326804,0.132883745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,0.026447201,0.048343775,-0.179274094,-0.139811078,0.315454311,0.192209829,0.117943748,0.35901575,-0.290612734,-0.296540779,-0.024353816,-0.009310938,1.078435474,1.040067873,1.086864318,1.326342921,1.082493737,1.244343686,0.636175051,0.723834207,0.005606807,0.01024888,-0.038006108,-0.029639948,0.066876314,0.040748484,0.025004075,0.076111339,-0.0616099,-0.062866645,-0.005163009,-0.001973919,0.22862832,0.220494389,0.230415235,0.281184699,0.229488672,0.263800861,0.134869111,0.153452852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,-0.050704913,-0.100335348,-0.320778244,-0.232849812,0.347815352,0.220010559,0.295259563,0.30710512,-0.423827981,-0.307117044,-0.011961901,0.083332474,1.089643438,1.117458937,1.176751659,1.299509432,1.127672454,1.161596409,0.629051508,0.513656306,-0.010749442,-0.021271094,-0.068004988,-0.04936416,0.073736855,0.046642238,0.062595027,0.065106286,-0.089851532,-0.065108813,-0.002535923,0.017666484,0.231004409,0.236901295,0.249471352,0.275496,0.23906656,0.246258439,0.13335892,0.108895137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-0.188096615,-0.276880756,-0.188096615,-0.276880756,0.195204124,0.131614401,0.195204124,0.131614401,-0.021176281,-0.044465089,-0.021176281,-0.044465089,0.68735561,0.626009806,0.68735561,0.626009806,0.535702401,0.549510762,0.535702401,0.549510762,-0.039876482,-0.05869872,-0.039876482,-0.05869872,0.041383274,0.027902253,0.041383274,0.027902253,-0.004489372,-0.009426599,-0.004489372,-0.009426599,0.145719389,0.132714079,0.145719389,0.132714079,0.113568909,0.116496282,0.113568909,0.116496282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
